"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,0,"WADE","Leg",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,0,"WADE","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,1,"KNEEL","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,1,"KNEEL","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,2,"STAGGER","Leg",3
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,2,"STAGGER","Arm",5
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,3,"GESTURE","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,3,"GESTURE","Arm",6
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,4,"CUT","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,4,"CUT","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,5,"WOBBLE","Leg",5
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,5,"WOBBLE","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,6,"WADDLE","Leg",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,6,"WADDLE","Arm",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,7,"SLIP","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,7,"SLIP","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,8,"BOUNCE","Leg",5
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,8,"BOUNCE","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,9,"GRIP","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,9,"GRIP","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,10,"FILE","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,10,"FILE","Arm",5
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,11,"PUNCH","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,11,"PUNCH","Arm",5
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,12,"CYCLE","Leg",5
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,12,"CYCLE","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,13,"STAMP","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,13,"STAMP","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,14,"WASH","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,14,"WASH","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,15,"POKE","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,15,"POKE","Arm",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,16,"SWITCH","Leg",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,16,"SWITCH","Arm",6
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,17,"WALK","Leg",7
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,17,"WALK","Arm",1
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,18,"TRUDGE","Leg",4
"verb_norming_L2-eng_oral_translation","2018_Sep_13_1343",807,18,"TRUDGE","Arm",4
