expName;date;participant;trial;resp_time;verb;translation_simple;translation_details;comment
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;0;4.54518982345;STAND;stå;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;1;2.63350345344;FILE;fila;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;2;2.88505059549;STOMP;stampa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;3;4.44474165306;HIKE;vandra;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;4;2.7341404852;GRASP;greppa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;5;2.48251866784;POKE;peta;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;6;4.59567507469;TRAIPSE;trippa;fast jag vet inte;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;7;2.39861443715;FLEE;fly;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;8;5.04830425803;SKATE;åka skridskor, åka skateboard;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;9;2.012949252;CATCH;fånga;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;10;2.38189704527;GLIDE;glida;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;11;1.71088841098;DANCE;dansa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;12;3.2875596069;PLOD;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;13;2.5500626838;CLAP;klappa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;14;3.60606877161;BASH;smälla till;jag vet inte… smälla till;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;15;2.48254039875;TWINE;tvinna;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;16;2.81793290048;CROUCH;böja sig;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;17;2.65023467408;GRAB;grabba;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;18;3.6900520238;SKIP;jag vet inte;kommer inte på vad det betyder;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;19;3.77390726117;GRATE;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;20;4.20996800815;SKIM;sno;jag är inte säker men … sno;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;21;2.0129543884;SWAY;svaja;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;22;1.92909638528;HOP;hoppa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;23;2.39842320514;GESTURE;gestikulera;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;24;2.36495760299;KICK;sparka;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;25;3.62283160085;RUB;massera;inte helt säker men… massera;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;26;2.63335805389;CUT;skära, klippa;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;27;2.73404289366;MOUNT;jag vet inte;;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;28;2.95210902437;TREAD;trä;tror jag;
verb_norming_L2-eng_oral_translation;2018_Sep_18_1329;811;29;3.1699373004;PEDAL;trampa;;
