"expName","date","participant","trial","verb","category","rated_category","rating"
"verb_norming_L1swe","2018_Sep_07_1309",800,1,"polera","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,1,"polera","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,2,"skjuta","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,2,"skjuta","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,3,"slunga","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,3,"slunga","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,4,"ösa","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,4,"ösa","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,5,"löpa","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,5,"löpa","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,6,"greppa","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,6,"greppa","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,7,"släntra","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,7,"släntra","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,8,"linka","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,8,"linka","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,9,"piska","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,9,"piska","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,10,"vingla","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,10,"vingla","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,11,"trycka","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,11,"trycka","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,12,"vandra","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,12,"vandra","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,13,"trippa","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,13,"trippa","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,14,"rulla","leg","Arm",6
"verb_norming_L1swe","2018_Sep_07_1309",800,14,"rulla","leg","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,15,"knipa","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,15,"knipa","arm","Leg",4
"verb_norming_L1swe","2018_Sep_07_1309",800,16,"dunka","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,16,"dunka","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,17,"rulta","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,17,"rulta","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,18,"smeka","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,18,"smeka","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,19,"klämma","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,19,"klämma","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,20,"rycka","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,20,"rycka","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,21,"skutta","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,21,"skutta","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,22,"bulta","arm","Arm",5
"verb_norming_L1swe","2018_Sep_07_1309",800,22,"bulta","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,23,"slinta","leg","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,23,"slinta","leg","Leg",2
"verb_norming_L1swe","2018_Sep_07_1309",800,24,"smälla","arm","Arm",7
"verb_norming_L1swe","2018_Sep_07_1309",800,24,"smälla","arm","Leg",1
"verb_norming_L1swe","2018_Sep_07_1309",800,25,"ränna","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,25,"ränna","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,26,"dansa","leg","Arm",2
"verb_norming_L1swe","2018_Sep_07_1309",800,26,"dansa","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,27,"strutta","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,27,"strutta","leg","Leg",7
"verb_norming_L1swe","2018_Sep_07_1309",800,28,"kliva","leg","Arm",1
"verb_norming_L1swe","2018_Sep_07_1309",800,28,"kliva","leg","Leg",7
