"category","verb"
"arm","brush"
"arm","carve"
"arm","catch"
"arm","chop"
"arm","clap"
"arm","clean"
"arm","click"
"arm","cut"
"arm","dig"
"arm","fold"
"arm","gesture"
"arm","grab"
"arm","grasp"
"arm","grip"
"arm","hack"
"arm","hug"
"arm","knock"
"arm","nip"
"arm","pat"
"arm","peel"
"arm","pinch"
"arm","pluck"
"arm","poke"
"arm","polish"
"arm","pull"
"arm","punch"
"arm","push"
"arm","rub"
"arm","scoop"
"arm","scratch"
"arm","scrub"
"arm","sign"
"arm","slap"
"arm","snatch"
"arm","stab"
"arm","stir"
"arm","throw"
"arm","wash"
"arm","whip"
"arm","wipe"
"leg","bounce"
"leg","flee"
"leg","glide"
"leg","hike"
"leg","hop"
"leg","jog"
"leg","jump"
"leg","kick"
"leg","kneel"
"leg","leap"
"leg","limp"
"leg","march"
"leg","pace"
"leg","pedal"
"leg","roam"
"leg","run"
"leg","rush"
"leg","skate"
"leg","skip"
"leg","slip"
"leg","sneak"
"leg","sprint"
"leg","squat"
"leg","stand"
"leg","step"
"leg","stomp"
"leg","stray"
"leg","stride"
"leg","stroll"
"leg","strut"
"leg","stumble"
"leg","tiptoe"
"leg","trample"
"leg","trip"
"leg","trot"
"leg","trudge"
"leg","wade"
"leg","walk"
"leg","wander"
"leg","wobble"
