"verb","category","nObs","Arm","Leg","bias","bias_absol"
"bash","arm",29,5.93103448275862,1.86206896551724,4.06896551724138,4.06896551724138
"bind","arm",29,6.44827586206897,2.10344827586207,4.3448275862069,4.3448275862069
"bounce","leg",29,2.6551724137931,5.79310344827586,-3.13793103448276,3.13793103448276
"braid","arm",29,5.79310344827586,1.62068965517241,4.17241379310345,4.17241379310345
"brush","arm",29,6.68965517241379,1.37931034482759,5.31034482758621,5.31034482758621
"carve","arm",29,6.62068965517241,1.44827586206897,5.17241379310345,5.17241379310345
"catch","arm",29,6.48275862068965,1.48275862068966,5,5
"chop","arm",29,6.75862068965517,1.31034482758621,5.44827586206897,5.44827586206897
"clap","arm",29,6.96551724137931,1.10344827586207,5.86206896551724,5.86206896551724
"claw","arm",29,6.06896551724138,2,4.06896551724138,4.06896551724138
"clean","arm",29,6.44827586206897,1.72413793103448,4.72413793103448,4.72413793103448
"click","arm",29,6.51724137931035,1.13793103448276,5.37931034482759,5.37931034482759
"climb","leg",17,5.47058823529412,6.05882352941176,-0.588235294117647,0.588235294117647
"clutch","arm",29,5.6551724137931,2.51724137931034,3.13793103448276,3.13793103448276
"crawl","leg",17,4.82352941176471,5.23529411764706,-0.411764705882353,0.411764705882353
"creep","leg",29,3,5.06896551724138,-2.06896551724138,2.06896551724138
"crouch","leg",12,3.66666666666667,4.83333333333333,-1.16666666666667,1.16666666666667
"cut","arm",29,6.17241379310345,1.41379310344828,4.75862068965517,4.75862068965517
"cycle","leg",12,2.58333333333333,5.66666666666667,-3.08333333333333,3.08333333333333
"dance","leg",29,4.68965517241379,6.62068965517241,-1.93103448275862,1.93103448275862
"dash","leg",12,5.5,2.41666666666667,3.08333333333333,-3.08333333333333
"delve","arm",17,3.58823529411765,2.94117647058824,0.647058823529412,0.647058823529412
"dig","arm",29,6.72413793103448,2.17241379310345,4.55172413793103,4.55172413793103
"dunk","arm",29,6.62068965517241,2.41379310344828,4.20689655172414,4.20689655172414
"file","arm",29,5.55172413793103,1.62068965517241,3.93103448275862,3.93103448275862
"flee","leg",29,1.68965517241379,6.48275862068965,-4.79310344827586,4.79310344827586
"flit","leg",17,3.52941176470588,3.94117647058824,-0.411764705882353,0.411764705882353
"fold","arm",29,6.55172413793103,2.13793103448276,4.41379310344828,4.41379310344828
"gesture","arm",12,6.33333333333333,1.66666666666667,4.66666666666667,4.66666666666667
"glide","leg",29,1.93103448275862,5.31034482758621,-3.37931034482759,3.37931034482759
"grab","arm",29,6.96551724137931,1.37931034482759,5.58620689655172,5.58620689655172
"grasp","arm",29,6.27586206896552,1.51724137931034,4.75862068965517,4.75862068965517
"grate","arm",29,5.48275862068965,2,3.48275862068965,3.48275862068965
"grip","arm",29,6.6551724137931,1.96551724137931,4.68965517241379,4.68965517241379
"grovel","leg",12,3.75,3.25,0.5,-0.5
"hack","arm",29,6.24137931034483,1.55172413793103,4.68965517241379,4.68965517241379
"hike","leg",29,2.48275862068966,6.20689655172414,-3.72413793103448,3.72413793103448
"hobble","leg",12,3.08333333333333,4.16666666666667,-1.08333333333333,1.08333333333333
"hop","leg",29,1.6551724137931,6.58620689655172,-4.93103448275862,4.93103448275862
"hug","arm",12,7,1.41666666666667,5.58333333333333,5.58333333333333
"inch","leg",29,3.10344827586207,4.3448275862069,-1.24137931034483,1.24137931034483
"jog","leg",29,1.86206896551724,6.68965517241379,-4.82758620689655,4.82758620689655
"jump","leg",29,1.55172413793103,7,-5.44827586206897,5.44827586206897
"kick","leg",29,1.51724137931034,6.68965517241379,-5.17241379310345,5.17241379310345
"kneel","leg",29,1.58620689655172,6.48275862068965,-4.89655172413793,4.89655172413793
"knock","arm",29,6.93103448275862,1.48275862068966,5.44827586206897,5.44827586206897
"leap","leg",29,1.62068965517241,6.48275862068965,-4.86206896551724,4.86206896551724
"lift","arm",29,6.68965517241379,3,3.68965517241379,3.68965517241379
"limp","leg",29,1.68965517241379,6.6551724137931,-4.96551724137931,4.96551724137931
