"expName","date","participant","trial","verb","target","distrOne","distrTwo","w1","w2","w3","corr_answer","answer","correct"
"verb_norming","2018_Jun_12_1246",903,0,"RUB","gnugga","riva","klappa","klappa","riva","gnugga",3,3,1
"verb_norming","2018_Jun_12_1246",903,1,"CLUTCH","gripa tag i","sätta ihop","dra ut","dra ut","gripa tag i","sätta ihop",2,2,1
"verb_norming","2018_Jun_12_1246",903,2,"JOG","jogga","spurta","rusa","jogga","rusa","spurta",1,1,1
"verb_norming","2018_Jun_12_1246",903,3,"CREEP","krypa","knäböja","klättra","krypa","klättra","knäböja",1,1,1
"verb_norming","2018_Jun_12_1246",903,4,"HIKE","vandra","flanera","lunka","lunka","vandra","flanera",2,2,1
"verb_norming","2018_Jun_12_1246",903,5,"DUNK","dunka","dumpa","dunsa","dumpa","dunsa","dunka",3,3,1
"verb_norming","2018_Jun_12_1246",903,6,"CLICK","klicka","klappa","klämma","klappa","klicka","klämma",2,2,1
"verb_norming","2018_Jun_12_1246",903,7,"SKIP","hoppa","kliva","strutta","hoppa","kliva","strutta",1,1,1
"verb_norming","2018_Jun_12_1246",903,8,"MARCH","marschera","trava","traska","marschera","traska","trava",1,1,1
"verb_norming","2018_Jun_12_1246",903,9,"WASH","tvätta","skura","sopa","skura","tvätta","sopa",2,2,1
"verb_norming","2018_Jun_12_1246",903,10,"GRASP","gripa","klämma","omfamna","omfamna","gripa","klämma",2,1,0
"verb_norming","2018_Jun_12_1246",903,11,"THROW","kasta","greppa","träffa","träffa","kasta","greppa",2,2,1
"verb_norming","2018_Jun_12_1246",903,12,"ROAM","ströva omkring","ta sig fram","luffa runt","luffa runt","ströva omkring","ta sig fram",2,2,1
"verb_norming","2018_Jun_12_1246",903,13,"CARVE","tälja","hacka","riva","tälja","hacka","riva",1,1,1
"verb_norming","2018_Jun_12_1246",903,14,"STUMBLE","snubbla","glida","svaja","snubbla","glida","svaja",1,1,1
"verb_norming","2018_Jun_12_1246",903,15,"SWITCH","slå på/av","knäppa","nypa","nypa","knäppa","slå på/av",3,3,1
"verb_norming","2018_Jun_12_1246",903,16,"KNOCK","knacka","krocka","klicka","klicka","knacka","krocka",2,2,1
"verb_norming","2018_Jun_12_1246",903,17,"TOSS","slänga","fånga","gripa","fånga","gripa","slänga",3,3,1
"verb_norming","2018_Jun_12_1246",903,18,"STAMP","stampa","kliva","skutta","skutta","kliva","stampa",3,3,1
"verb_norming","2018_Jun_12_1246",903,19,"DIG","gräva","dränera","dika","dika","dränera","gräva",3,3,1
"verb_norming","2018_Jun_12_1246",903,20,"SNEAK","smyga","hasa","glida","glida","hasa","smyga",3,3,1
"verb_norming","2018_Jun_12_1246",903,21,"GRATE","riva","hugga","rispa","riva","hugga","rispa",1,1,1
"verb_norming","2018_Jun_12_1246",903,22,"STOMP","stampa","stiga","kliva","stampa","kliva","stiga",1,1,1
"verb_norming","2018_Jun_12_1246",903,23,"PLOD","lunka","pulsa","vingla","pulsa","lunka","vingla",2,1,0
"verb_norming","2018_Jun_12_1246",903,24,"CLAP","klappa","knäppa","klämma","klämma","knäppa","klappa",3,3,1
"verb_norming","2018_Jun_12_1246",903,25,"CLIMB","klättra","kliva","krypa","krypa","klättra","kliva",2,2,1
"verb_norming","2018_Jun_12_1246",903,26,"CLAW","klösa","nypa","rispa","nypa","rispa","klösa",3,3,1
"verb_norming","2018_Jun_12_1246",903,27,"WHIP","piska","klappa","slå","klappa","piska","slå",2,2,1
"verb_norming","2018_Jun_12_1246",903,28,"PUSH","knuffa","kasta","klämma","knuffa","kasta","klämma",1,1,1
"verb_norming","2018_Jun_12_1246",903,29,"CHOP","hacka","tälja","riva","tälja","riva","hacka",3,3,1
"verb_norming","2018_Jun_12_1246",903,30,"TWINE","tvinna","binda","knyta","binda","tvinna","knyta",2,2,1
"verb_norming","2018_Jun_12_1246",903,31,"WADE","vada","pulsa","plöja","plöja","vada","pulsa",2,2,1
"verb_norming","2018_Jun_12_1246",903,32,"SWAY","vingla","tassa","ramla","tassa","ramla","vingla",3,3,1
"verb_norming","2018_Jun_12_1246",903,33,"STROLL","strosa","trava","marschera","trava","strosa","marschera",2,2,1
