"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming_oral_input","2018_Jun_26_1723",916,0,"STRUT","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,0,"STRUT","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,1,"GRIP","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,1,"GRIP","Leg",4
"verb_norming_oral_input","2018_Jun_26_1723",916,2,"CATCH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,2,"CATCH","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,3,"TRAIPSE","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,3,"TRAIPSE","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,4,"PLOD","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,4,"PLOD","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,5,"FOLD","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,5,"FOLD","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,6,"STRAY","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,6,"STRAY","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,7,"ROLL","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,7,"ROLL","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,8,"FILE","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,8,"FILE","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,9,"PAT","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,9,"PAT","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,10,"GRAB","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,10,"GRAB","Leg",5
"verb_norming_oral_input","2018_Jun_26_1723",916,11,"PEEL","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,11,"PEEL","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,12,"RUSH","Arm",2
"verb_norming_oral_input","2018_Jun_26_1723",916,12,"RUSH","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,13,"SWITCH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,13,"SWITCH","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,14,"CARVE","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,14,"CARVE","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,15,"THROW","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,15,"THROW","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,16,"STAB","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,16,"STAB","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,17,"CLICK","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,17,"CLICK","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,18,"GRASP","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,18,"GRASP","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,19,"WANDER","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,19,"WANDER","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,20,"SCRUB","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,20,"SCRUB","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,21,"PACE","Arm",3
"verb_norming_oral_input","2018_Jun_26_1723",916,21,"PACE","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,22,"BRUSH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,22,"BRUSH","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,23,"SLITHER","Arm",3
"verb_norming_oral_input","2018_Jun_26_1723",916,23,"SLITHER","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,24,"POLISH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,24,"POLISH","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,25,"KNOCK","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,25,"KNOCK","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,26,"STEP","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,26,"STEP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,27,"CREEP","Arm",2
"verb_norming_oral_input","2018_Jun_26_1723",916,27,"CREEP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,28,"SNATCH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,28,"SNATCH","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,29,"TRUDGE","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,29,"TRUDGE","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,30,"FLEE","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,30,"FLEE","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,31,"KNEEL","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,31,"KNEEL","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,32,"WRAP","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,32,"WRAP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,33,"TOSS","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,33,"TOSS","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,34,"INCH","Arm",3
"verb_norming_oral_input","2018_Jun_26_1723",916,34,"INCH","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,35,"BASH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,35,"BASH","Leg",2
"verb_norming_oral_input","2018_Jun_26_1723",916,36,"STIR","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,36,"STIR","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,37,"STROLL","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,37,"STROLL","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,38,"DANCE","Arm",5
"verb_norming_oral_input","2018_Jun_26_1723",916,38,"DANCE","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,39,"POKE","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,39,"POKE","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,40,"JOG","Arm",3
"verb_norming_oral_input","2018_Jun_26_1723",916,40,"JOG","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,41,"CHOP","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,41,"CHOP","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,42,"SKIP","Arm",2
"verb_norming_oral_input","2018_Jun_26_1723",916,42,"SKIP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,43,"BIND","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,43,"BIND","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,44,"CRAWL","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,44,"CRAWL","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,45,"PUNCH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,45,"PUNCH","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,46,"BOUNCE","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,46,"BOUNCE","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,47,"PINCH","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,47,"PINCH","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,48,"HACK","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,48,"HACK","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,49,"NIP","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,49,"NIP","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,50,"SEIZE","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,50,"SEIZE","Leg",2
"verb_norming_oral_input","2018_Jun_26_1723",916,51,"PULL","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,51,"PULL","Leg",4
"verb_norming_oral_input","2018_Jun_26_1723",916,52,"FLIT","Arm",3
"verb_norming_oral_input","2018_Jun_26_1723",916,52,"FLIT","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,53,"KICK","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,53,"KICK","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,54,"SCOOP","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,54,"SCOOP","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,55,"SCRAPE","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,55,"SCRAPE","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,56,"ROAM","Arm",2
"verb_norming_oral_input","2018_Jun_26_1723",916,56,"ROAM","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,57,"DIG","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,57,"DIG","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,58,"SKIM","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,58,"SKIM","Leg",3
"verb_norming_oral_input","2018_Jun_26_1723",916,59,"LEAP","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,59,"LEAP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,60,"SWAY","Arm",3
"verb_norming_oral_input","2018_Jun_26_1723",916,60,"SWAY","Leg",6
"verb_norming_oral_input","2018_Jun_26_1723",916,61,"PLUCK","Arm",7
"verb_norming_oral_input","2018_Jun_26_1723",916,61,"PLUCK","Leg",1
"verb_norming_oral_input","2018_Jun_26_1723",916,62,"HOP","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,62,"HOP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,63,"PRANCE","Arm",2
"verb_norming_oral_input","2018_Jun_26_1723",916,63,"PRANCE","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,64,"SLIP","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,64,"SLIP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,65,"STOMP","Arm",1
"verb_norming_oral_input","2018_Jun_26_1723",916,65,"STOMP","Leg",7
"verb_norming_oral_input","2018_Jun_26_1723",916,66,"STAGGER","Arm",2
"verb_norming_oral_input","2018_Jun_26_1723",916,66,"STAGGER","Leg",7
