expName;date;participant;block;word_duration;SOA;trial;type;trialRT;word1;word2;word3;word4;w1;w2;w3;w4;error;score;comment;coder
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;0;arm;6.43927254279;clean;wrap;twine;seize;1;1;1;1;;;;PJ
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;1;arm;5.91966882901;wipe;bind;toss;grab;1;1;1;1;S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;2;leg;5.53511717975;march;trip;stamp;bounce;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;3;arm;9.81149220553;nip;catch;skim;slap;1;0;0;0;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;4;leg;6.54110793876;scuff;wander;kneel;glide;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;5;leg;4.76379767181;pace;mount;skip;dance;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;6;arm;12.1260011269;switch;carve;brush;squeeze;0;0;1;1;O;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;7;arm;4.20989546003;fold;throw;bash;knock;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;8;leg;6.1219756782;trudge;trot;jog;plod;1;1;1;0;R,S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;9;arm;8.97303842352;poke;dig;scoop;polish;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;10;leg;5.63417292992;step;skate;strut;stumble;1;1;1;1;S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;11;arm;20.2434337536;whip;clap;wash;pat;1;1;0;0;O;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;12;leg;14.7759159002;stray;prance;sneak;stagger;0;1;1;1;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;13;arm;9.67730465629;pinch;delve;clutch;punch;1;1;1;0;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;14;arm;12.4948978584;grate;lift;scrub;file;1;1;1;0;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;15;arm;41.191103711;peel;stab;grip;snatch;1;0;0;0;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;16;leg;6.22192202135;walk;creep;stomp;rush;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;17;leg;9.845365558;inch;stride;tread;wade;1;1;0;1;O;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;18;arm;11.085895204;dunk;push;scrape;rub;1;0;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;19;leg;8.30237804921;slide;hike;flit;trek;1;1;1;1;S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;20;leg;9.04004309933;limp;wobble;leap;sway;1;1;1;1;A;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;21;leg;11.4218000883;kick;roll;crawl;stroll;1;1;1;0;R,S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;22;arm;8.92321737186;hack;tug;click;braid;1;1;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;23;arm;13.3998821762;grasp;cut;shake;chop;1;1;1;0;O;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;24;leg;9.64379599652;slip;tiptoe;traipse;run;1;1;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;25;leg;12.2937336866;slither;hop;ramble;jump;1;1;0;1;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;26;leg;82.5488506451;flee;climb;roam;sprint;1;0;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;0;0.2;0.6;27;arm;12.7800421036;pull;claw;scratch;stir;1;1;1;1;;;18:01;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;0;arm;18.7508702445;rub;clutch;whip;chop;1;0;0;1;O,R,S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;1;leg;18.0462693479;pace;stray;slide;inch;1;0;0;1;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;2;leg;14.1887942541;creep;glide;sway;hike;1;1;1;1;S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;3;arm;30.1383963321;scratch;grip;polish;stir;0;0;0;1;O;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;4;arm;8.85608191243;claw;scrub;switch;twine;1;0;0;1;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;5;leg;13.333915867;ramble;limp;climb;tread;1;1;1;0;O;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;6;arm;21.7024372377;braid;tug;punch;squeeze;1;1;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;7;arm;35.3369179635;seize;clap;shake;wash;0;0;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;8;leg;6.13859428551;wade;sprint;flit;kneel;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;9;arm;9.27500318069;skim;grab;grate;pull;1;1;1;1;S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;10;leg;6.77547099883;jump;plod;kick;walk;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;11;arm;5.24972835729;carve;dig;poke;pinch;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;12;arm;8.13443805321;scrape;lift;knock;slap;1;1;1;0;R,S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;13;arm;17.5260713786;scoop;bind;catch;fold;1;1;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;14;leg;11.7402834883;scuff;trip;step;slither;1;0;1;1;O;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;15;leg;7.36293125997;wander;strut;leap;stumble;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;16;arm;12.5789771061;push;file;clean;pat;1;1;1;0;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;17;arm;8.11759067335;peel;stab;throw;click;1;0;1;1;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;18;arm;6.45719780094;brush;snatch;delve;cut;1;0;1;1;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;19;leg;5.1658261218;stomp;trek;tiptoe;rush;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;20;leg;19.7065760849;skate;sneak;bounce;dance;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;21;leg;15.2775445711;stagger;slip;stride;skip;1;1;0;0;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;22;arm;8.57044930297;bash;dunk;grasp;hack;0;0;0;1;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;23;leg;5.30008281645;march;jog;mount;wobble;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;24;leg;14.6094512699;traipse;trot;prance;roll;0;1;0;1;O,R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;25;arm;3.55581773742;wipe;toss;wrap;nip;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;26;leg;6.87653828799;hop;stroll;crawl;flee;1;1;1;0;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;1;0.1;0.5;27;leg;4.36055068201;stamp;run;trudge;roam;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;0;leg;4.26011281371;stray;pace;trek;prance;0;1;1;1;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;1;leg;11.4041901333;walk;roam;traipse;run;1;0;0;1;O,R,S;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;2;arm;6.45747872889;clean;squeeze;grasp;seize;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;3;arm;7.53110872109;shake;catch;pull;grab;1;0;1;1;R;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;4;leg;4.44481128833;glide;wobble;jump;tiptoe;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;5;arm;4.49522145894;lift;nip;stir;bind;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;6;arm;4.46147019754;scoop;toss;wipe;dig;1;1;1;1;;;;
sheb_replic_pilot_control;2018_Jun_11_1303;902;2;0.3;0.7;7;leg;5.23339344375;stroll;slither;ramble;kneel;1;1;1;1;;;;
