"expName","date","participant","trial","verb","rated_category","rating"
"verb_norming","2018_Jun_08_1140",900,1,"dunk","Arm",7
"verb_norming","2018_Jun_08_1140",900,1,"dunk","Leg",1
"verb_norming","2018_Jun_08_1140",900,2,"grasp","Arm",7
"verb_norming","2018_Jun_08_1140",900,2,"grasp","Leg",1
"verb_norming","2018_Jun_08_1140",900,3,"peel","Arm",7
"verb_norming","2018_Jun_08_1140",900,3,"peel","Leg",1
"verb_norming","2018_Jun_08_1140",900,4,"prance","Arm",1
"verb_norming","2018_Jun_08_1140",900,4,"prance","Leg",7
"verb_norming","2018_Jun_08_1140",900,5,"jog","Arm",1
"verb_norming","2018_Jun_08_1140",900,5,"jog","Leg",7
"verb_norming","2018_Jun_08_1140",900,6,"chop","Arm",7
"verb_norming","2018_Jun_08_1140",900,6,"chop","Leg",1
"verb_norming","2018_Jun_08_1140",900,7,"squeeze","Arm",7
"verb_norming","2018_Jun_08_1140",900,7,"squeeze","Leg",1
"verb_norming","2018_Jun_08_1140",900,8,"wander","Arm",1
"verb_norming","2018_Jun_08_1140",900,8,"wander","Leg",7
"verb_norming","2018_Jun_08_1140",900,9,"rub","Arm",7
"verb_norming","2018_Jun_08_1140",900,9,"rub","Leg",1
"verb_norming","2018_Jun_08_1140",900,10,"inch","Arm",1
"verb_norming","2018_Jun_08_1140",900,10,"inch","Leg",7
"verb_norming","2018_Jun_08_1140",900,11,"leap","Arm",1
"verb_norming","2018_Jun_08_1140",900,11,"leap","Leg",7
"verb_norming","2018_Jun_08_1140",900,12,"wrap","Arm",7
"verb_norming","2018_Jun_08_1140",900,12,"wrap","Leg",1
"verb_norming","2018_Jun_08_1140",900,13,"scuff","Arm",7
"verb_norming","2018_Jun_08_1140",900,13,"scuff","Leg",1
"verb_norming","2018_Jun_08_1140",900,14,"grip","Arm",7
"verb_norming","2018_Jun_08_1140",900,14,"grip","Leg",1
"verb_norming","2018_Jun_08_1140",900,15,"braid","Arm",4
"verb_norming","2018_Jun_08_1140",900,15,"braid","Leg",1
"verb_norming","2018_Jun_08_1140",900,16,"pluck","Arm",7
"verb_norming","2018_Jun_08_1140",900,16,"pluck","Leg",1
"verb_norming","2018_Jun_08_1140",900,17,"scrub","Arm",7
"verb_norming","2018_Jun_08_1140",900,17,"scrub","Leg",1
"verb_norming","2018_Jun_08_1140",900,18,"throw","Arm",7
"verb_norming","2018_Jun_08_1140",900,18,"throw","Leg",1
"verb_norming","2018_Jun_08_1140",900,19,"stride","Arm",4
"verb_norming","2018_Jun_08_1140",900,19,"stride","Leg",4
