"expName","date","participant","trial","resp_time","our_transl","verb","ppt_translation","score","comment","type"
"verb_norming_oral_input","2018_Jun_13_1344",905,1,74.5141454398,"vandra","hike","vandra i naturen, vandra",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,2,5.98802745365,"klappa","pat","klappa",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,3,62.8246679023,"hoppa","leap","kasta, kasta sig",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,4,2.46561320481,"gå","walk","gå",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,5,22.0881690207,"vingla","wobble","vobbla, skaka pga obalans",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,6,6.08859336607,"repa","scratch","riva, klia",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,7,25.5093911117,"hoppa","skip","hoppa över, att ha en hoppig gångstil",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,8,4.86437383172,"stampa","stamp","stämpla",-99,"correct translation but not foot-related","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,9,4.31103807769,"springa","run","köra, springa",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,10,2.93565516917,"sparka","kick","sparka",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,11,14.3231983001,"gripa","grasp","fånga",0,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,12,10.1132235751,"kasta","throw","kasta",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,13,5.33394719863,"vingla","roll","rulla",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,14,4.00913093348,"riva","grate","gratinera",0,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,15,64.4514896934,"ströva omkring","roam","skrida",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,16,1.25855950931,"dansa","dance","dansa",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,17,5.90544051124,"gå på tå","tiptoe","gå på tå",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,18,1.51021174994,"skala","peel","skala",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,19,3.45564582883,"knuffa","push","knuffa, trycka",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,20,5.23337140852,"krypa","creep","krypa",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,21,3.85816471793,"kråma sig","prance","I don't know this word",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,22,7.49710840603,"gripa tag i","clutch","hålla fast sig, hålla fast, hålla tag",1,"unsure of correctness?","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,23,2.01326059668,"vada","wade","vada",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,24,1.67782739889,"trampa","tread","IDK this word",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,25,6.92720421564,"fånga","seize","beslagta, tillfångata",1,"correct translation but not hand-related","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,26,3.27077267611,"sticka","stab","hugga någon",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,27,16.2518821932,"gripa om","grip","hålla i, hålla fast",1,"unsure of correctness?","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,28,4.84758690092,"gnugga","rub","gnida, gnussa",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,29,1.17302467012,"gräva","dig","gräva",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,30,1.00696455926,"peta","poke","peta",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,31,1.82824322973,"glida","glide","glida",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,32,1.47667700399,"halka","slip","halka",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,33,27.6728470693,"trava","trot","I'm not sure of this one",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,34,52.7621551848,"hacka","hack","hacka",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,35,2.21466425546,"spurta","sprint","spurta",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,36,3.92521524467,"skära","cut","skära",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,37,11.6058795151,"tälja","carve","karva, skära",1,"unsure of correctness?","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,38,3.53942797132,"skaka","shake","skaka",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,39,19.0023418019,"ströva","stray","vandra utan mål",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,40,7.16183838761,"skrapa","scrape","skrapa",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,41,1.94619466075,"röra","stir","röra om",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,42,9.1073356837,"rycka till sig","snatch","stjäla, skvallra",0,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,43,1.62768944711,"jogga","jog","jogga",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,44,2.51598940638,"polera","polish","putsa, polera",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,45,7.27946741094,"tvinna","twine","fläta, föra samman",1,"unsure of correctness?","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,46,4.22710974544,"gå","step","att ta ett steg",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,47,1.69462223183,"klösa","claw","klösa",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,48,14.3230947819,"hasa sig fram","scuff","I'm not sure of this one",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,49,16.2180400536,"ströva","ramble","I'm not sure of this one either",0,"ppt commented that both this verb and the previous one she thought were related fighting.","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,50,1.22457394574,"slänga","toss","kasta",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,51,2.44938298043,"rusa","rush","skynda",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,52,1.09080912872,"binda","bind","binda",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,53,1.05742175786,"klämma","squeeze","klämma",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,54,5.43453444685,"halta","limp","halta",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,55,5.70277132326,"knäböja","kneel","gå ner på ett knä när man bugar",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,56,1.17469913554,"strosa","stroll","strosa",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,57,2.381697516,"rusa","flit","I don't know this word",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,58,10.7006946384,"borsta","brush","borsta",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,59,1.17469795022,"slå på/av","switch","byta",0,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,60,49.9443744007,"snubbla","stumble","råka",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,61,7.51414741539,"åka skridskor","skate","skejta, åka skridskor",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,62,8.16832328641,"gå uppför","mount","hoppa upp på ngt och sätta sig på det",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,63,5.66938869368,"skrubba","scrub","skrubba",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,64,10.4994395401,"dunka","dunk","dunka en basketboll in i ett mål",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,65,1.97989930291,"dra","pull","dra ",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,66,11.187021352,"svassa","strut","gå på ett visst sätt",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,67,4.91464849067,"knacka","knock","slå, knacka",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,68,2.26480655341,"gripa tag i","grab","fånga, ta tag i",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,69,2.36552695285,"fånga","catch","fånga",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,70,2.55002751924,"smälla till","slap","slå ngn med handflatan",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,71,4.73028147061,"studsa","bounce","studsa",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,72,1.35934194062,"stampa","stomp","stampa",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,73,1.19158405299,"rengöra","clean","rengöra",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,74,5.63602265862,"slå","bash","slå ngt jättehårt med nånting",1,"unsure of correctness?","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,75,4.15938911645,"rycka","tug","dra, rycka",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,76,2.85174343144,"snubbla","trip","ramla, snubbla",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,77,1.17466476119,"skumma","skim","skumma",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,78,1.1581899653,"fly","flee","fly",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,79,1.22467351283,"nypa","pinch","nypa",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,80,1.12455802291,"marschera","march","marschera",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,81,46.7078089434,"hasa","slither","I can't find the translation, it's how a snake gets from point a to point b",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,82,1.392756969,"lyfta","lift","lyfta",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,83,1.30855838325,"vandra","wander","vandra",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,84,16.1512305424,"kravla","crawl","kräla, krålsimma",-99,"I don't think any of the ppts say kravla for this one…","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,85,0.973534911893,"vika ihop","fold","vika",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,86,1.34208404173,"kliva","stride","I'm not sure of this one",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,87,1.07409292216,"fläta","braid","fläta",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,88,1.42634465935,"slå","punch","slå",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,89,1.34243884823,"ragla","stagger","I'm not sure of this one either",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,90,0.822492835714,"klättra","climb","klättra",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,91,2.3823379852,"slå in","wrap","vira in, vika",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,92,0.79020346849,"hacka","chop","hacka",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,93,1.35921550623,"plocka","pluck","plocka",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,94,3.5562883921,"vingla","sway","vagga fram och tillbaka långsamt",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,95,2.26459398559,"röra sig långsamt framåt","inch","I don't know this word",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,96,1.2925837934,"lunka","plod","I don't know this word",0,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,97,2.49969122352,"torka","wipe","torka, torka av",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,98,11.1869237605,"vanka av och an","pace","gå fram och tillbaka",1,"","leg"
"verb_norming_oral_input","2018_Jun_13_1344",905,99,13.4677321661,"fila","file","att lägga något i ett fack för att spara det",1,"correct translation but not hand-related per se","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,100,4.39490042699,"skyffla","scoop","skopa",1,"","arm"
"verb_norming_oral_input","2018_Jun_13_1344",905,101,11.4218819206,"glida","slide","glida",1,"","leg"
