"verb","type","Arm","Leg","bias","bias_absol"
"bash","arm",6.58823529411765,1.29411764705882,5.29411764705882,5.29411764705882
"bind","arm",6.52941176470588,1.94117647058824,4.58823529411765,4.58823529411765
"bounce","leg",2.29411764705882,6.11764705882353,-3.82352941176471,3.82352941176471
"braid","arm",6.23529411764706,1.29411764705882,4.94117647058824,4.94117647058824
"brush","arm",6.82352941176471,1.17647058823529,5.64705882352941,5.64705882352941
"carve","arm",6.76470588235294,1.29411764705882,5.47058823529412,5.47058823529412
"catch","arm",6.11764705882353,1.41176470588235,4.70588235294118,4.70588235294118
"chop","arm",6.88235294117647,1.23529411764706,5.64705882352941,5.64705882352941
"clap","arm",7,1,6,6
"claw","arm",6.17647058823529,1.82352941176471,4.35294117647059,4.35294117647059
"clean","arm",6.29411764705882,1.82352941176471,4.47058823529412,4.47058823529412
"click","arm",6.70588235294118,1,5.70588235294118,5.70588235294118
"climb","leg",5.47058823529412,6.05882352941176,-0.588235294117647,0.588235294117647
"clutch","arm",6.41176470588235,1.76470588235294,4.64705882352941,4.64705882352941
"crawl","leg",4.82352941176471,5.23529411764706,-0.411764705882353,0.411764705882353
"creep","leg",2.47058823529412,5,-2.52941176470588,2.52941176470588
"cut","arm",6.47058823529412,1.05882352941176,5.41176470588235,5.41176470588235
"dance","leg",4.35294117647059,6.52941176470588,-2.17647058823529,2.17647058823529
"delve","arm",3.58823529411765,2.94117647058824,0.647058823529412,0.647058823529412
"dig","arm",6.76470588235294,1.94117647058824,4.82352941176471,4.82352941176471
"dunk","arm",6.70588235294118,2.47058823529412,4.23529411764706,4.23529411764706
"file","arm",5.76470588235294,1.58823529411765,4.17647058823529,4.17647058823529
"flee","leg",1.35294117647059,6.41176470588235,-5.05882352941176,5.05882352941176
"flit","leg",3.52941176470588,3.94117647058824,-0.411764705882353,0.411764705882353
"fold","arm",6.52941176470588,2.52941176470588,4,4
"glide","leg",1.76470588235294,5.23529411764706,-3.47058823529412,3.47058823529412
"grab","arm",7,1.41176470588235,5.58823529411765,5.58823529411765
"grasp","arm",6.23529411764706,1.23529411764706,5,5
"grate","arm",5.82352941176471,1.52941176470588,4.29411764705882,4.29411764705882
"grip","arm",7,1.94117647058824,5.05882352941176,5.05882352941176
"hack","arm",6.47058823529412,1.35294117647059,5.11764705882353,5.11764705882353
"hike","leg",1.88235294117647,6.64705882352941,-4.76470588235294,4.76470588235294
"hop","leg",1.11764705882353,6.94117647058824,-5.82352941176471,5.82352941176471
"inch","leg",2.23529411764706,4.88235294117647,-2.64705882352941,2.64705882352941
"jog","leg",1.70588235294118,7,-5.29411764705882,5.29411764705882
"jump","leg",1.35294117647059,7,-5.64705882352941,5.64705882352941
"kick","leg",1,7,-6,6
"kneel","leg",1.35294117647059,6.47058823529412,-5.11764705882353,5.11764705882353
"knock","arm",6.94117647058824,1.17647058823529,5.76470588235294,5.76470588235294
"leap","leg",1.23529411764706,6.58823529411765,-5.35294117647059,5.35294117647059
"lift","arm",6.64705882352941,2.94117647058824,3.70588235294118,3.70588235294118
"limp","leg",1.41176470588235,6.88235294117647,-5.47058823529412,5.47058823529412
"march","leg",1.82352941176471,7,-5.17647058823529,5.17647058823529
"mount","leg",4,5.23529411764706,-1.23529411764706,1.23529411764706
"nip","arm",6.52941176470588,1.11764705882353,5.41176470588235,5.41176470588235
"pace","leg",1.41176470588235,6.82352941176471,-5.41176470588235,5.41176470588235
"pat","arm",6.64705882352941,1.17647058823529,5.47058823529412,5.47058823529412
"peel","arm",6.47058823529412,1.05882352941176,5.41176470588235,5.41176470588235
"pinch","arm",6.82352941176471,1.17647058823529,5.64705882352941,5.64705882352941
"plod","leg",2.23529411764706,5.05882352941176,-2.82352941176471,2.82352941176471
"pluck","arm",6.58823529411765,1,5.58823529411765,5.58823529411765
