"Participant","Condition","WordType","nbValidTrials","NbErrors"
1,"Control","Arm-related",24,7
1,"Control","Leg-related",24,14
1,"Arm","Arm-related",24,19
1,"Arm","Leg-related",24,14
1,"Leg","Arm-related",24,13
1,"Leg","Leg-related",24,17
1,"Articulation","Arm-related",24,21
1,"Articulation","Leg-related",24,18
2,"Control","Arm-related",24,4
2,"Control","Leg-related",24,8
2,"Arm","Arm-related",24,20
2,"Arm","Leg-related",24,15
2,"Leg","Arm-related",24,15
2,"Leg","Leg-related",24,20
2,"Articulation","Arm-related",24,23
2,"Articulation","Leg-related",24,18
3,"Control","Arm-related",24,8
3,"Control","Leg-related",24,3
3,"Arm","Arm-related",24,20
3,"Arm","Leg-related",24,10
3,"Leg","Arm-related",24,12
3,"Leg","Leg-related",24,17
3,"Articulation","Arm-related",24,22
3,"Articulation","Leg-related",24,18
4,"Control","Arm-related",24,5
4,"Control","Leg-related",24,8
4,"Arm","Arm-related",24,19
4,"Arm","Leg-related",24,16
4,"Leg","Arm-related",24,12
4,"Leg","Leg-related",24,17
4,"Articulation","Arm-related",24,18
4,"Articulation","Leg-related",24,21
